delta,n,method,horizon
0.1,4494,aucb_lam0.01,253
0.1,4494,cs,-1
0.1,5172,union_anyalloc,517
0.1,5172,auc,22
0.1,5172,optimal,543
0.1,5172,aucb_lam0.05,83
0.1,5172,aucb_lam0.01,267
0.1,5172,cs,-1
0.1,5953,union_anyalloc,595
0.1,5953,auc,23
0.1,5953,optimal,626
0.1,5953,aucb_lam0.05,86
0.1,5953,aucb_lam0.01,281
0.1,5953,cs,-1
0.1,6851,union_anyalloc,685
0.1,6851,auc,25
0.1,6851,optimal,720
0.1,6851,aucb_lam0.05,89
0.1,6851,aucb_lam0.01,294
0.1,6851,cs,-1
0.1,7886,union_anyalloc,788
0.1,7886,auc,27
0.1,7886,optimal,829
0.1,7886,aucb_lam0.05,91
0.1,7886,aucb_lam0.01,308
0.1,7886,cs,-1
0.1,9076,union_anyalloc,907
0.1,9076,auc,29
0.1,9076,optimal,954
0.1,9076,aucb_lam0.05,94
0.1,9076,aucb_lam0.01,322
0.1,9076,cs,-1
0.1,10446,union_anyalloc,1044
0.1,10446,auc,31
0.1,10446,optimal,1098
0.1,10446,aucb_lam0.05,97
0.1,10446,aucb_lam0.01,336
0.1,10446,cs,-1
0.1,12022,union_anyalloc,1202
0.1,12022,auc,34
0.1,12022,optimal,1264
0.1,12022,aucb_lam0.05,100
0.1,12022,aucb_lam0.01,349
0.1,12022,cs,-1
0.1,13837,union_anyalloc,1383
0.1,13837,auc,36
0.1,13837,optimal,1455
0.1,13837,aucb_lam0.05,102
0.1,13837,aucb_lam0.01,363
0.1,13837,cs,-1
0.1,15926,union_anyalloc,1592
0.1,15926,auc,39
0.1,15926,optimal,1675
0.1,15926,aucb_lam0.05,105
0.1,15926,aucb_lam0.01,377
0.1,15926,cs,-1
0.1,18329,union_anyalloc,1833
0.1,18329,auc,42
0.1,18329,optimal,1927
0.1,18329,aucb_lam0.05,108
0.1,18329,aucb_lam0.01,391
0.1,18329,cs,-1
0.1,21096,union_anyalloc,2109
0.1,21096,auc,45
0.1,21096,optimal,2218
0.1,21096,aucb_lam0.05,110
0.1,21096,aucb_lam0.01,405
0.1,21096,cs,-1
0.1,24280,union_anyalloc,2428
0.1,24280,auc,48
0.1,24280,optimal,2553
0.1,24280,aucb_lam0.05,113
0.1,24280,aucb_lam0.01,418
0.1,24280,cs,-1
0.1,27945,union_anyalloc,2794
0.1,27945,auc,52
0.1,27945,optimal,2939
0.1,27945,aucb_lam0.05,116
0.1,27945,aucb_lam0.01,432
0.1,27945,cs,-1
0.1,32163,union_anyalloc,3216
0.1,32163,auc,56
0.1,32163,optimal,3382
0.1,32163,aucb_lam0.05,119
0.1,32163,aucb_lam0.01,446
0.1,32163,cs,-1
0.1,37018,union_anyalloc,3701
0.1,37018,auc,60
0.1,37018,optimal,3893
0.1,37018,aucb_lam0.05,121
0.1,37018,aucb_lam0.01,460
0.1,37018,cs,-1
0.1,42605,union_anyalloc,4260
0.1,42605,auc,64
0.1,42605,optimal,4480
0.1,42605,aucb_lam0.05,124
0.1,42605,aucb_lam0.01,474
0.1,42605,cs,-1
0.1,49036,union_anyalloc,4903
0.1,49036,auc,69
0.1,49036,optimal,5157
0.1,49036,aucb_lam0.05,127
0.1,49036,aucb_lam0.01,488
0.1,49036,cs,-1
0.1,56437,union_anyalloc,5643
0.1,56437,auc,74
0.1,56437,optimal,5935
0.1,56437,aucb_lam0.05,130
0.1,56437,aucb_lam0.01,502
0.1,56437,cs,-1
0.1,64955,union_anyalloc,6495
0.1,64955,auc,80
0.1,64955,optimal,6831
0.1,64955,aucb_lam0.05,132
0.1,64955,aucb_lam0.01,515
0.1,64955,cs,-1
0.1,74760,union_anyalloc,7476
0.1,74760,auc,86
0.1,74760,optimal,7862
0.1,74760,aucb_lam0.05,135
0.1,74760,aucb_lam0.01,529
0.1,74760,cs,-1
0.1,86044,union_anyalloc,8604
0.1,86044,auc,92
0.1,86044,optimal,9049
